rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
86,0.996457823166964,0.0003799818123523,0.0001665343718761,0.3084589552238805,0.0143666988225917,0.0062964833751979,0.0229910868415582,0.0003585294112381,0.0001571324425504,0.0,0,20,200,200,12345,2
87,0.9542996150489128,0.0443780620382347,0.0194495432317303,0.0109067164179104,0.011951687515412,0.0052380580031382,0.0034619712339268,0.0031903727446799,0.0016145513730896,0.25,0,20,200,200,12345,1
88,0.8981136770823734,0.0285341985841913,0.012505663912675,0.0141442786069651,0.0100748398983098,0.0044154932675093,0.0053275164292488,0.0044577508287953,0.0021842979061097,0.1999999999999999,1,20,200,200,12345,1
89,0.9962342350582848,0.0003580999144603,0.0001569442072881,0.2889713930348259,0.0164076242603399,0.0071909583862973,0.0230491490873781,0.0004149081247984,0.0001818415032073,0.0,0,20,200,200,12345,2
90,0.9962229984422102,0.0006803524938655,0.0002981776272892,0.0805223880597014,0.0,0.0,0.0089587973461402,0.0,0.0,0.0,0,20,200,200,12345,1
91,0.9584021713345358,0.0053915077235462,0.0023629324431286,0.0250248756218905,0.0163084179308486,0.0071474792953754,0.0073074650576805,0.0038748256113156,0.0018419751730325,0.15,0,20,200,200,12345,1
92,0.9889506949232254,0.002668632613548,0.0011695798104497,0.0065161691542288,0.0069619820005426,0.0030512231422233,0.005535305986822,0.0016561002744714,0.0009786927202025,0.4499999999999999,0,20,200,200,12345,1
93,0.9881083404647224,0.0030611599288322,0.0013416124914099,0.0042549751243781,0.0060571929609127,0.002654681861833,0.0051467869135901,0.0018857409193021,0.0010251004408075,0.35,0,20,200,200,12345,1
94,0.9785744393536496,0.0057551589466595,0.0025223096187051,0.0199850746268656,0.0111264650910217,0.0048763883293894,0.0063167956808854,0.0030005652881896,0.0013150557192423,0.0,0,20,200,200,12345,1
95,0.8663518651499797,0.0435546675938964,0.0190886747055624,0.0052487562189054,0.0033178404420664,0.0014541076863238,0.0022279730803712,0.0017233203969164,0.0009027304290061,0.3,0,20,200,200,12345,1
96,0.0145067625063677,0.0024895703607222,0.0010911023180233,0.0001480099502487,9.04046452714822e-05,3.962158273252266e-05,,,,1.0,0,20,200,200,12345,0
97,0.9421633969562012,0.0072171366589998,0.0031630496017961,0.2628495024875622,0.0430727805746006,0.0188774784075689,0.0218834806486753,0.0011383716541397,0.0005118743221657,0.05,1,20,200,200,12345,2
98,0.9570553714312646,0.0150036978784663,0.0065756605205435,0.0158134328358208,0.0143721171703293,0.0062988580707958,0.0030324426116897,0.0041724039062907,0.0020444779140824,0.1999999999999999,1,20,200,200,12345,1
99,0.9995288505711366,0.000610456689438,0.0002675444403609,0.0613097014925373,0.1642339978762289,0.0719787231596895,0.0185629288625577,0.0064441767797305,0.0051564153413929,0.7,0,20,200,200,12345,1
100,0.6683844708492294,0.0229428841999577,0.0100551623395182,0.0047848258706467,0.0049429983641251,0.0021663645495514,0.0013862943611198,0.0017574488664099,0.0008893918383451,0.25,0,20,200,200,12345,1
101,0.9963917112959984,0.0005056530934823,0.0002216122392516,0.2964614427860696,0.0221301219814513,0.0096989535917739,0.0229810515955736,0.0004020018740573,0.000176185089425,0.0,0,20,200,200,12345,2
102,0.996413981256714,0.0004830440353403,0.0002117033826327,0.0935074626865671,1.4238309865648918e-17,6.240214433882189e-18,0.0089587973461402,0.0,0.0,0.0,0,20,200,200,12345,1
103,0.9899018989993692,0.0015871998454587,0.0006956210026712,0.0952363184079601,0.1250525439349859,0.0548066938435898,0.0139184509462031,0.0076286889427346,0.0041470025484066,0.35,0,20,200,200,12345,1
104,0.3540448315876012,0.0711457186868019,0.0311809860051861,0.0050932835820895,0.0050046184860418,0.0021933707587033,0.0042358994367552,0.0015282458847726,0.0009984539780514,0.55,0,20,200,200,12345,0
105,0.9963357747678458,0.0004081382891935,0.0001788744919359,0.1763432835820895,0.0,0.0,0.0109861228866811,1.7797887332061147e-18,7.800268042352736e-19,0.0,0,20,200,200,12345,2
106,0.9967100678077422,0.0005138696814852,0.0002252133177179,0.2324042288557213,0.026661235288242,0.0116848015558505,0.0219879825379758,0.0010020561233664,0.0004391704593869,0.0,1,20,200,200,12345,2
107,0.9429430041250008,0.0047942000684261,0.002101150821144,0.2593034825870647,0.0407505166818654,0.0178597013821025,0.0214131202554641,0.0019004704256503,0.0008545557221037,0.05,0,20,200,200,12345,2
108,0.8872189564732968,0.0322440060783191,0.0141315587337754,0.0102089552238805,0.0031981779884688,0.0014016633037265,0.0013143738430069,0.0018874949163323,0.0008272311202604,0.0,0,20,200,200,12345,1
109,0.9920438936819784,0.0026002275787356,0.0011395999821124,0.0306293532338308,0.0187466768873837,0.0082160933989931,0.0083168155776113,0.0035210347647414,0.0015832503180923,0.05,0,20,200,200,12345,1
110,0.984901884370391,0.0008643946425836,0.0003788376553199,0.1765957711442785,0.0424546936594653,0.0186065898733527,0.0192228798947233,0.0011656828812237,0.0005385180164172,0.0999999999999999,0,20,200,200,12345,2
111,0.974077602844605,0.0041483709276213,0.0018181037204488,0.0763121890547263,0.0811400533076781,0.0355611962792092,0.010704255051467,0.0049193925811214,0.0026742122694558,0.35,0,20,200,200,12345,1
112,0.9482038342354984,0.0251036172351547,0.0110021453453124,0.0062437810945273,0.0045296789452752,0.0019852193274254,0.0015463221682434,0.001962026501669,0.0009326881948834,0.15,1,20,200,200,12345,1
113,0.9993099539957324,0.0015714650133232,0.0006887249084344,0.0267711442786069,0.0318091585998854,0.0139409784235375,0.0096478335452363,0.004984130780163,0.0027094043553332,0.35,0,20,200,200,12345,1
114,0.9552797477741328,0.009158149614559,0.0040137360369084,0.0159527363184079,0.0308774281335075,0.0135326295422699,0.0089160412121757,0.0043145734136363,0.0028188546302424,0.55,0,20,200,200,12345,1
115,0.9482841733321516,0.0079282355995679,0.0034747024534844,0.0058818407960199,0.0055504799356446,0.0024326050869946,0.0040735584528376,0.004221635008707,0.0022114276540429,0.3,0,20,200,200,12345,1
116,0.9475533298485882,0.0254048541058863,0.0111341682248884,0.005502487562189,0.0068097517397929,0.0029845052888145,0.0043321698784996,0.0015674380380068,0.0008868615577176,0.4,0,20,200,200,12345,1
117,0.991760336390238,0.0071889256996123,0.0031506856037075,0.012297263681592,0.0170384931828405,0.0074674488822356,0.0060651532871173,0.0050511401727696,0.0024011596203397,0.15,0,20,200,200,12345,1
118,0.9490298488667472,0.0068578284577835,0.0030055758394887,0.0263258706467661,0.0284795860524261,0.0124817289153188,0.0071570356022663,0.0064130511209794,0.0036285252552038,0.4,0,20,200,200,12345,1
119,0.8683518464045326,0.0315827086359568,0.0138417323510195,0.0054975124378109,0.0038367752847489,0.0016815409088135,0.0021579226216787,0.0019221235238063,0.000913719523277,0.15,0,20,200,200,12345,1
120,0.9964195043856746,0.0008480199989337,0.0003716611513234,0.2298370646766169,0.0427917777809068,0.0187543235032498,0.0217380455697108,0.0011685840908946,0.0005121545590743,0.0,1,20,200,200,12345,2
121,0.9417657968688704,0.006874880983691,0.0030130494384837,0.2404912935323382,0.0618070481893828,0.0270881332030527,0.0220710121975655,0.0012186054607763,0.0005340773910174,0.0,0,20,200,200,12345,2
